Case Number,Business Address,Parcel Number,Business Name,Owner Name,License Issued Date,License Type,License Description,Business Description,Location
BUS1987-00127,19520 W GRAND RIVER,22007994-5,DUBIN CLEANER DETROIT INC.,DUBIN CLEANER DETROIT INC,06/24/2016,New Owner,Dry Cleaner/Laundering Plant,Corporation,"location
(42.40739, -83.23414)"
BUS1987-00367,22400 PLYMOUTH,22005575.,"HARE KRISHNA PROPERTIES, INC.","HARE KRISHNA PROPERTIES, INC.",10/10/2017,Renewal,Hotel (1-50) Rooms,Corporation,"location
(42.37202, -83.26135)"
BUS1987-00367,22400 PLYMOUTH,22005575.,"HARE KRISHNA PROPERTIES, INC.","HARE KRISHNA PROPERTIES, INC.",06/22/2017,Renewal,Hotel (1-50) Rooms,Corporation,"location
(42.37202, -83.26135)"
BUS1987-00354,470 MYRTLE,02000734.,KING'S ARMS HOTEL,KING'S ARMS HOTEL,07/11/2017,Renewal,Hotel (51-100) Rooms,,"location
(42.34558, -83.06228)"
BUS1987-00027,2123-2 W GRAND BLVD,,TOWN MOTEL,TOWN MOTEL,08/18/2015,Renewal,Hotel (1-50) Rooms,Corporation,"location
(42.35825, -83.10601)"
BUS1987-00027,2123-2 W GRAND BLVD,,TOWN MOTEL,TOWN MOTEL,06/19/2018,Renewal,Hotel (1-50) Rooms,Corporation,"location
(42.35825, -83.10601)"
BUS1987-00027,2123-2 W GRAND BLVD,,TOWN MOTEL,TOWN MOTEL,06/20/2017,Renewal,Hotel (1-50) Rooms,Corporation,"location
(42.35825, -83.10601)"
BUS1987-00027,2123-2 W GRAND BLVD,,TOWN MOTEL,TOWN MOTEL,07/01/2016,Renewal,Hotel (1-50) Rooms,Corporation,"location
(42.35825, -83.10601)"
BUS1987-00349,13348 W MCNICHOLS,22014111.,A. Q. 49 MINUTE CLEANERS,A.Q. 49 MINUTE CLEANERS,07/10/2015,Renewal,Dry Cleaner/Laundering Plant,,"location
(42.41685, -83.17729)"
BUS1987-00349,13348 W MCNICHOLS,22014111.,A. Q. 49 MINUTE CLEANERS,A.Q. 49 MINUTE CLEANERS,06/12/2018,Renewal,Dry Cleaner/Laundering Plant,,"location
(42.41685, -83.17729)"
BUS1987-00349,13348 W MCNICHOLS,22014111.,A. Q. 49 MINUTE CLEANERS,A.Q. 49 MINUTE CLEANERS,06/21/2016,Renewal,Dry Cleaner/Laundering Plant,,"location
(42.41685, -83.17729)"
BUS1987-00010,400 BAGLEY,02002293-6,THE LELAND HOUSE,THE LELAND HOUSE,07/02/2015,Renewal,Hotel (1-50) Rooms,Corporation,"location
(42.33367, -83.05445)"
